Product,Return_Reason,Category,Cleaned_Reason
Bedsheet,Received Poor stitching after first use,Quality Issue,received poor stitching first use
Bedsheet,Cracked product,Damaged Product,cracked product
Smartwatch,Screen flickering,Quality Issue,screen flickering
Headphones,Zip not working,Quality Issue,zip working
Laptop,Neck too tight during use,Size Issue,neck tight use
Table,Received Leaking bottle,Damaged Product,received leaking bottle
Air Fryer,Received Charging very slow after first use,Battery Issue,received charging slow first use
T-Shirt,Dent on product during use,Damaged Product,dent product use
Water Bottle,Sound quality poor,Quality Issue,sound quality poor
Chair,Fit not as expected during use,Size Issue,fit expected use
Mixer,Handle broke,Quality Issue,handle broke
Jeans,Product has Broken on arrival,Damaged Product,product broken arrival
T-Shirt,Issue: Zip not working,Quality Issue,issue zip working
Phone,Received Package arrived after event,Delivery Delay,received package arrived event
Curtains,Display cracked,Damaged Product,display cracked
Bedsheet,Product has Power issue after first use,Battery Issue,product power issue first use
Bluetooth Speaker,Courier delay after first use,Delivery Delay,courier delay first use
Headphones,Color different from image,Color Mismatch,color different image
Shoes,Product has Manual missing,Missing Parts,product manual missing
Handbag,Issue: Expected black got blue during use,Color Mismatch,issue expected black got blue use
Bluetooth Speaker,Product has Needed earlier after first use,Delivery Delay,product needed earlier first use
Smartwatch,Different design received during use,Wrong Item,different design received use
Kurti,Expected black got blue during use,Color Mismatch,expected black got blue use
T-Shirt,Product has Poor stitching after first use,Quality Issue,product poor stitching first use
Shoes,Issue: Stand missing during use,Missing Parts,issue stand missing use
Bluetooth Speaker,Very slow delivery,Delivery Delay,slow delivery
Electric Kettle,Received Handle broke,Quality Issue,received handle broke
Smartwatch,Product has Left earbud not working during use,Quality Issue,product left earbud working use
Keyboard,Product has Waist too tight,Size Issue,product waist tight
Handbag,Left earbud not working,Quality Issue,left earbud working
Water Bottle,Product has Cracked product,Damaged Product,product cracked product
Air Fryer,Issue: Too loose,Size Issue,issue loose
Mixer,Product has Sound quality poor,Quality Issue,product sound quality poor
Shoes,Bent frame during use,Damaged Product,bent frame use
Electric Kettle,Product has Handle broke after first use,Quality Issue,product handle broke first use
Phone,Received Very slow delivery,Delivery Delay,received slow delivery
Chair,Product has Cable missing,Missing Parts,product cable missing
Power Bank,One part missing during use,Missing Parts,one part missing use
Headphones,Zip not working,Quality Issue,zip working
Chair,Product has Too loose,Size Issue,product loose
Shoes,Damaged during delivery after first use,Damaged Product,damaged delivery first use
Air Fryer,Poor stitching,Quality Issue,poor stitching
Sandals,Issue: Display cracked after first use,Damaged Product,issue display cracked first use
Table,Issue: Won't hold charge after first use,Battery Issue,issue wont hold charge first use
Laptop,Courier delay,Delivery Delay,courier delay
Smartwatch,Issue: One part missing during use,Missing Parts,issue one part missing use
Jeans,Issue: Size too large,Size Issue,issue size large
Laptop,Product has Zip not working,Quality Issue,product zip working
Smartwatch,Product has Needed earlier,Delivery Delay,product needed earlier
Shoes,Issue: Missed delivery date,Delivery Delay,issue missed delivery date
Handbag,Poor stitching,Quality Issue,poor stitching
Phone,Issue: Zip not working during use,Quality Issue,issue zip working use
Backpack,Missed delivery date after first use,Delivery Delay,missed delivery date first use
Backpack,Received Missing screws during use,Missing Parts,received missing screw use
Curtains,Wrong color and model during use,Wrong Item,wrong color model use
Mixer,Product has Battery backup poor,Battery Issue,product battery backup poor
Jeans,Length too short,Size Issue,length short
Keyboard,Product has Very slow delivery,Delivery Delay,product slow delivery
Shoes,Button came off,Quality Issue,button came
T-Shirt,Glass shattered after first use,Damaged Product,glass shattered first use
Shoes,Issue: Too loose,Size Issue,issue loose
Laptop,Received Printed color faded after first use,Color Mismatch,received printed color faded first use
Kurti,Received Wrong color and model during use,Wrong Item,received wrong color model use
Shirt,Issue: Wrong color received,Color Mismatch,issue wrong color received
Chair,Product has Fabric quality poor,Quality Issue,product fabric quality poor
Water Bottle,Incorrect size sent after first use,Wrong Item,incorrect size sent first use
Phone,Issue: Printed color faded,Color Mismatch,issue printed color faded
Handbag,Different design received,Wrong Item,different design received
Kurti,Received Different model received,Wrong Item,received different model received
Kurti,Received Handle broke,Quality Issue,received handle broke
Laptop,Received Dent on product,Damaged Product,received dent product
Jeans,Late shipment during use,Delivery Delay,late shipment use
Shirt,Received Wrong item delivered after first use,Wrong Item,received wrong item delivered first use
Bedsheet,Issue: Incorrect size sent,Wrong Item,issue incorrect size sent
Shirt,Attachment missing,Missing Parts,attachment missing
Jeans,Received Power issue,Battery Issue,received power issue
Kurti,Charging very slow,Battery Issue,charging slow
Water Bottle,Product has Color different from image after first use,Color Mismatch,product color different image first use
Electric Kettle,Sound quality poor during use,Quality Issue,sound quality poor use
Phone,Product has Battery backup poor during use,Battery Issue,product battery backup poor use
Bedsheet,Received Doesn't fit during use,Size Issue,received doesnt fit use
Phone,Display cracked during use,Damaged Product,display cracked use
Headphones,Product has Fit not as expected during use,Size Issue,product fit expected use
Headphones,Product has Printed color faded,Color Mismatch,product printed color faded
Air Fryer,Received Glass shattered,Damaged Product,received glass shattered
Handbag,Wrong brand received during use,Wrong Item,wrong brand received use
T-Shirt,Received Color different from image after first use,Color Mismatch,received color different image first use
T-Shirt,Wrong item delivered during use,Wrong Item,wrong item delivered use
Smartwatch,Color looks different,Color Mismatch,color look different
Table,Product has Material feels cheap,Quality Issue,product material feel cheap
Shirt,Ordered medium received small,Size Issue,ordered medium received small
Smartwatch,Dent on product,Damaged Product,dent product
Bedsheet,Received Wrong color received,Color Mismatch,received wrong color received
Air Fryer,Issue: Wrong color and model,Wrong Item,issue wrong color model
Smartwatch,Issue: Battery backup poor after first use,Battery Issue,issue battery backup poor first use
Chair,Wrong color and model,Wrong Item,wrong color model
Smartwatch,Received another product,Wrong Item,received another product
Power Bank,Issue: Design color mismatch after first use,Color Mismatch,issue design color mismatch first use
Sandals,Needed earlier,Delivery Delay,needed earlier
Electric Kettle,Product has Wrong color received,Color Mismatch,product wrong color received
Kurti,Package torn,Damaged Product,package torn
Helmet,Leaking bottle during use,Damaged Product,leaking bottle use
Laptop,Issue: Stand missing during use,Missing Parts,issue stand missing use
Kurti,Cable missing,Missing Parts,cable missing
Phone,Cable missing during use,Missing Parts,cable missing use
Headphones,Neck too tight during use,Size Issue,neck tight use
Sandals,Battery swollen,Battery Issue,battery swollen
Helmet,Design color mismatch during use,Color Mismatch,design color mismatch use
Bedsheet,Issue: Needed earlier during use,Delivery Delay,issue needed earlier use
Handbag,Received Received another product,Wrong Item,received received another product
Bluetooth Speaker,Issue: Missed delivery date,Delivery Delay,issue missed delivery date
Bluetooth Speaker,Received Received another product,Wrong Item,received received another product
Kurti,Product has Button came off during use,Quality Issue,product button came use
Shoes,Issue: Battery backup poor during use,Battery Issue,issue battery backup poor use
Power Bank,Issue: Pattern different,Color Mismatch,issue pattern different
Backpack,Glass shattered,Damaged Product,glass shattered
Shirt,Received Lid missing,Missing Parts,received lid missing
Chair,Charger missing,Missing Parts,charger missing
Headphones,Received Leaking bottle during use,Damaged Product,received leaking bottle use
Backpack,Received Delivered too late during use,Delivery Delay,received delivered late use
Kurti,Battery swollen,Battery Issue,battery swollen
Table,Ordered medium received small,Size Issue,ordered medium received small
Kurti,Issue: Material feels cheap after first use,Quality Issue,issue material feel cheap first use
Backpack,Received Waist too tight after first use,Size Issue,received waist tight first use
Air Fryer,Issue: Package arrived after event,Delivery Delay,issue package arrived event
Shoes,Issue: Manual missing,Missing Parts,issue manual missing
Headphones,Length too short,Size Issue,length short
Laptop,Sleeves too short,Size Issue,sleeve short
Kurti,Issue: Battery backup poor,Battery Issue,issue battery backup poor
Curtains,Received Leaking bottle,Damaged Product,received leaking bottle
Helmet,Won't hold charge after first use,Battery Issue,wont hold charge first use
Table,Different model received,Wrong Item,different model received
Curtains,Product has Charger missing,Missing Parts,product charger missing
Curtains,Received Broken on arrival,Damaged Product,received broken arrival
Jeans,Received Screen flickering,Quality Issue,received screen flickering
Shoes,One part missing,Missing Parts,one part missing
Mouse,Ordered medium received small during use,Size Issue,ordered medium received small use
Curtains,Product has Design color mismatch during use,Color Mismatch,product design color mismatch use
Handbag,Received Power issue,Battery Issue,received power issue
Smartwatch,Delivery rescheduled,Delivery Delay,delivery rescheduled
Shoes,Received Expected black got blue during use,Color Mismatch,received expected black got blue use
Table,Leaking bottle during use,Damaged Product,leaking bottle use
Mouse,Received Color different from image after first use,Color Mismatch,received color different image first use
Water Bottle,Received Missed delivery date,Delivery Delay,received missed delivery date
Curtains,Received Different design received,Wrong Item,received different design received
Laptop,Neck too tight after first use,Size Issue,neck tight first use
Chair,Product has Lid missing during use,Missing Parts,product lid missing use
Shirt,Delivery rescheduled,Delivery Delay,delivery rescheduled
Curtains,Product has Glass shattered,Damaged Product,product glass shattered
Chair,Design color mismatch,Color Mismatch,design color mismatch
Air Fryer,Received Attachment missing during use,Missing Parts,received attachment missing use
Bluetooth Speaker,Product has Wrong variant delivered,Wrong Item,product wrong variant delivered
T-Shirt,Dent on product after first use,Damaged Product,dent product first use
Bedsheet,Issue: Package torn,Damaged Product,issue package torn
Laptop,Received Different model received after first use,Wrong Item,received different model received first use
Mixer,Shade not matching,Color Mismatch,shade matching
Jeans,Shuts down suddenly,Battery Issue,shuts suddenly
Handbag,Issue: Incorrect size sent,Wrong Item,issue incorrect size sent
Mixer,Issue: Too loose during use,Size Issue,issue loose use
Phone,Package arrived after event,Delivery Delay,package arrived event
Shoes,Issue: Delivery delayed during use,Delivery Delay,issue delivery delayed use
Handbag,Screen flickering after first use,Quality Issue,screen flickering first use
Mixer,Won't hold charge after first use,Battery Issue,wont hold charge first use
Electric Kettle,Issue: Handle broke,Quality Issue,issue handle broke
Backpack,Issue: Scratched item during use,Damaged Product,issue scratched item use
Smartwatch,Received Different design received,Wrong Item,received different design received
Bedsheet,Too loose after first use,Size Issue,loose first use
Sandals,Display cracked after first use,Damaged Product,display cracked first use
Chair,Cracked product after first use,Damaged Product,cracked product first use
Power Bank,Ordered medium received small during use,Size Issue,ordered medium received small use
Headphones,Received Wrong item delivered,Wrong Item,received wrong item delivered
Sandals,Product has Delivery delayed,Delivery Delay,product delivery delayed
T-Shirt,Glass shattered after first use,Damaged Product,glass shattered first use
Kurti,Shuts down suddenly,Battery Issue,shuts suddenly
Helmet,Shuts down suddenly,Battery Issue,shuts suddenly
Power Bank,Received Delivery delayed during use,Delivery Delay,received delivery delayed use
Chair,Issue: Incorrect product during use,Wrong Item,issue incorrect product use
Jeans,Issue: Screen flickering,Quality Issue,issue screen flickering
Shoes,Product has Wrong item delivered,Wrong Item,product wrong item delivered
Table,Waist too tight after first use,Size Issue,waist tight first use
Handbag,Issue: Very slow delivery,Delivery Delay,issue slow delivery
Smartwatch,Issue: Won't hold charge,Battery Issue,issue wont hold charge
Smartwatch,Received Package arrived after event,Delivery Delay,received package arrived event
Air Fryer,Issue: Button came off during use,Quality Issue,issue button came use
Electric Kettle,Wrong color and model,Wrong Item,wrong color model
Air Fryer,Received Delivery delayed,Delivery Delay,received delivery delayed
Keyboard,Material feels cheap,Quality Issue,material feel cheap
Jeans,Product has Courier delay,Delivery Delay,product courier delay
Electric Kettle,Issue: Color inaccurate during use,Color Mismatch,issue color inaccurate use
Bluetooth Speaker,Sleeves too short after first use,Size Issue,sleeve short first use
Curtains,Issue: Order mixed up,Wrong Item,issue order mixed
Headphones,Product has Too loose,Size Issue,product loose
Smartwatch,Neck too tight after first use,Size Issue,neck tight first use
T-Shirt,Product has Stopped working after one day during use,Quality Issue,product stopped working one day use
Curtains,Received Incorrect product during use,Wrong Item,received incorrect product use
Headphones,Issue: Delivery rescheduled,Delivery Delay,issue delivery rescheduled
Laptop,Charging very slow,Battery Issue,charging slow
Bluetooth Speaker,Issue: Battery not charging,Battery Issue,issue battery charging
Mixer,Received Wrong item delivered,Wrong Item,received wrong item delivered
Power Bank,Needed earlier during use,Delivery Delay,needed earlier use
Chair,Color looks different during use,Color Mismatch,color look different use
Laptop,Product has Package arrived after event,Delivery Delay,product package arrived event
Electric Kettle,Issue: Cable missing,Missing Parts,issue cable missing
Curtains,Issue: Design color mismatch during use,Color Mismatch,issue design color mismatch use
Jeans,Product has Battery swollen,Battery Issue,product battery swollen
Power Bank,Wrong color received,Color Mismatch,wrong color received
Bedsheet,Product has Delivered too late during use,Delivery Delay,product delivered late use
Mouse,Received Battery not charging,Battery Issue,received battery charging
Air Fryer,Accessories missing during use,Missing Parts,accessory missing use
Chair,Design color mismatch,Color Mismatch,design color mismatch
Handbag,Received Zip not working after first use,Quality Issue,received zip working first use
T-Shirt,Material feels cheap during use,Quality Issue,material feel cheap use
Shirt,Shuts down suddenly,Battery Issue,shuts suddenly
Water Bottle,Received Waist too tight during use,Size Issue,received waist tight use
Keyboard,Issue: Battery backup poor,Battery Issue,issue battery backup poor
Phone,Battery overheats,Battery Issue,battery overheats
Sandals,Product has Stand missing during use,Missing Parts,product stand missing use
Power Bank,Received Battery backup poor during use,Battery Issue,received battery backup poor use
Power Bank,Received Wrong item delivered,Wrong Item,received wrong item delivered
Power Bank,Received Battery not charging,Battery Issue,received battery charging
Curtains,Received Wrong color and model during use,Wrong Item,received wrong color model use
Backpack,Issue: Received another product,Wrong Item,issue received another product
Table,Received Glass shattered,Damaged Product,received glass shattered
Shirt,Issue: Wrong variant delivered,Wrong Item,issue wrong variant delivered
Sandals,Too loose,Size Issue,loose
Electric Kettle,Product has Late shipment,Delivery Delay,product late shipment
Handbag,Product has Expected black got blue,Color Mismatch,product expected black got blue
Handbag,Incorrect size sent,Wrong Item,incorrect size sent
Jeans,Order mixed up,Wrong Item,order mixed
Mixer,Received Battery not charging during use,Battery Issue,received battery charging use
Kurti,Battery backup poor,Battery Issue,battery backup poor
Bluetooth Speaker,Issue: Incorrect size sent,Wrong Item,issue incorrect size sent
Power Bank,Wrong color received after first use,Color Mismatch,wrong color received first use
Chair,Received Glass shattered,Damaged Product,received glass shattered
Bluetooth Speaker,Missing screws,Missing Parts,missing screw
Sandals,Received Package arrived after event,Delivery Delay,received package arrived event
T-Shirt,Product has One part missing during use,Missing Parts,product one part missing use
Chair,Received Too loose,Size Issue,received loose
Handbag,Issue: Broken on arrival,Damaged Product,issue broken arrival
Kurti,Accessories missing,Missing Parts,accessory missing
T-Shirt,Order mixed up after first use,Wrong Item,order mixed first use
Power Bank,Received Charging very slow,Battery Issue,received charging slow
Bedsheet,Product has Stand missing during use,Missing Parts,product stand missing use
Helmet,Issue: Stopped working after one day,Quality Issue,issue stopped working one day
Laptop,Issue: Length too short during use,Size Issue,issue length short use
T-Shirt,Received Dent on product,Damaged Product,received dent product
Backpack,Received Color different from image after first use,Color Mismatch,received color different image first use
Shoes,Product has Stopped working after one day,Quality Issue,product stopped working one day
Air Fryer,Product has Size too small after first use,Size Issue,product size small first use
Electric Kettle,Broken on arrival after first use,Damaged Product,broken arrival first use
Air Fryer,Product has Package torn,Damaged Product,product package torn
Kurti,Product has Waist too tight,Size Issue,product waist tight
T-Shirt,Incorrect size sent after first use,Wrong Item,incorrect size sent first use
Headphones,Length too short,Size Issue,length short
Bluetooth Speaker,Doesn't fit after first use,Size Issue,doesnt fit first use
T-Shirt,Attachment missing during use,Missing Parts,attachment missing use
Keyboard,Package arrived after event,Delivery Delay,package arrived event
Headphones,Very slow delivery,Delivery Delay,slow delivery
Handbag,Order mixed up,Wrong Item,order mixed
Smartwatch,Courier delay during use,Delivery Delay,courier delay use
Shoes,Received Delivery delayed,Delivery Delay,received delivery delayed
Kurti,Received Battery not charging,Battery Issue,received battery charging
Helmet,Image misleading,Color Mismatch,image misleading
Helmet,Issue: Very slow delivery,Delivery Delay,issue slow delivery
Bedsheet,Product has Handle broke during use,Quality Issue,product handle broke use
Smartwatch,Received Missed delivery date during use,Delivery Delay,received missed delivery date use
Bedsheet,Charger missing,Missing Parts,charger missing
Sandals,Received One part missing,Missing Parts,received one part missing
Shoes,Battery swollen,Battery Issue,battery swollen
T-Shirt,Received Material feels cheap after first use,Quality Issue,received material feel cheap first use
Chair,Too loose,Size Issue,loose
Water Bottle,Issue: Material feels cheap,Quality Issue,issue material feel cheap
Mixer,Received Different design received,Wrong Item,received different design received
Sandals,Issue: Cracked product after first use,Damaged Product,issue cracked product first use
Chair,Received Sound quality poor,Quality Issue,received sound quality poor
Headphones,Issue: Different design received,Wrong Item,issue different design received
Sandals,Received Too loose,Size Issue,received loose
Curtains,Received Shuts down suddenly,Battery Issue,received shuts suddenly
Phone,Product has Color different from image,Color Mismatch,product color different image
Kurti,Accessories missing,Missing Parts,accessory missing
Smartwatch,Issue: Glass shattered,Damaged Product,issue glass shattered
Mixer,Received Battery dies in two hours,Battery Issue,received battery dy two hour
Kurti,Product has Poor stitching,Quality Issue,product poor stitching
Bluetooth Speaker,Issue: Size too large during use,Size Issue,issue size large use
Power Bank,Issue: Delayed by one week,Delivery Delay,issue delayed one week
T-Shirt,Received Scratched item during use,Damaged Product,received scratched item use
Sandals,Left earbud not working during use,Quality Issue,left earbud working use
Headphones,Issue: Wrong item delivered,Wrong Item,issue wrong item delivered
Laptop,Received Size too small after first use,Size Issue,received size small first use
Mixer,Received Shuts down suddenly,Battery Issue,received shuts suddenly
Bedsheet,Issue: Fit not as expected after first use,Size Issue,issue fit expected first use
Chair,Product has Charging very slow,Battery Issue,product charging slow
Backpack,Wrong color received during use,Color Mismatch,wrong color received use
Shoes,Received Fit not as expected,Size Issue,received fit expected
Backpack,Issue: Stand missing,Missing Parts,issue stand missing
Shirt,Received Material feels cheap after first use,Quality Issue,received material feel cheap first use
Shoes,Issue: Package arrived after event,Delivery Delay,issue package arrived event
Table,Issue: Glass shattered,Damaged Product,issue glass shattered
Mixer,Received Material feels cheap after first use,Quality Issue,received material feel cheap first use
Shoes,Shade not matching,Color Mismatch,shade matching
Water Bottle,Product has Dent on product after first use,Damaged Product,product dent product first use
Bluetooth Speaker,Product has Button came off after first use,Quality Issue,product button came first use
Phone,Issue: Battery not charging during use,Battery Issue,issue battery charging use
Handbag,Delayed by one week,Delivery Delay,delayed one week
Power Bank,Shade not matching during use,Color Mismatch,shade matching use
Bluetooth Speaker,Late shipment,Delivery Delay,late shipment
Shoes,Received Pattern different during use,Color Mismatch,received pattern different use
Jeans,Received Delivered too late,Delivery Delay,received delivered late
Helmet,Fabric quality poor,Quality Issue,fabric quality poor
Table,Lid missing,Missing Parts,lid missing
Handbag,Product has Delayed by one week,Delivery Delay,product delayed one week
Kurti,Very slow delivery during use,Delivery Delay,slow delivery use
Curtains,Sound quality poor,Quality Issue,sound quality poor
Headphones,Issue: Battery drains quickly during use,Battery Issue,issue battery drain quickly use
Water Bottle,Received Battery dies in two hours during use,Battery Issue,received battery dy two hour use
Sandals,One part missing,Missing Parts,one part missing
Air Fryer,Wrong color received,Color Mismatch,wrong color received
Bluetooth Speaker,Manual missing after first use,Missing Parts,manual missing first use
Table,Product has Wrong color received,Color Mismatch,product wrong color received
Kurti,Wrong color and model,Wrong Item,wrong color model
Backpack,Received Incorrect product after first use,Wrong Item,received incorrect product first use
Keyboard,Received Material feels cheap,Quality Issue,received material feel cheap
Phone,Product has Printed color faded,Color Mismatch,product printed color faded
Headphones,Product has Missed delivery date after first use,Delivery Delay,product missed delivery date first use
T-Shirt,Left earbud not working,Quality Issue,left earbud working
Electric Kettle,Length too short after first use,Size Issue,length short first use
Phone,Product has Remote missing,Missing Parts,product remote missing
Jeans,Issue: Battery swollen,Battery Issue,issue battery swollen
Helmet,Received Leaking bottle during use,Damaged Product,received leaking bottle use
Headphones,Received Scratched item during use,Damaged Product,received scratched item use
Sandals,Dent on product during use,Damaged Product,dent product use
Electric Kettle,Issue: Late shipment,Delivery Delay,issue late shipment
Laptop,Remote missing after first use,Missing Parts,remote missing first use
Handbag,Issue: Wrong item delivered,Wrong Item,issue wrong item delivered
T-Shirt,Received Handle broke,Quality Issue,received handle broke
Power Bank,Shuts down suddenly after first use,Battery Issue,shuts suddenly first use
Headphones,Issue: Accessories missing,Missing Parts,issue accessory missing
